wf_name,num_nodes,max_indeg,deadline_const,rel_const,sota,bcpswa,random,sb_lft,sb_dd,dynamic
CyberShake_100.txt,102,48,10.895,0.963483,26171.6,51551.8,37024.3,37236.5,25695.7,12805.3
CyberShake_50.txt,52,23,12.5391,0.998998,18316.1,30493.5,23023,23074.5,18719.3,7932.06
Epigenomics_100.txt,102,24,1425.68,0.972406,7.90158e+006,9.298e+006,8.87411e+006,8.86512e+006,8.86591e+006,5.16731e+006
Epigenomics_24.txt,26,5,266.351,0.986295,381194,408433,394057,364473,364149,210418
Epigenomics_46.txt,49,5,368.824,0.969552,776938,954273,803218,762550,799974,475841
Inspiral_100.txt,102,11,63.605,0.980422,366154,484583,424463,379021,443095,261372
Inspiral_1000.txt,1002,40,67.453,0.990786,4.36413e+006,5.57986e+006,5.57986e+006,5.57986e+006,5.57986e+006,3.12035e+006
Inspiral_30.txt,32,7,63.7205,0.951561,119107,152517,123297,119480,117668,61791
Inspiral_50.txt,52,12,67.3294,0.993158,213052,271102,238414,246884,245725,134997
Montage_100.txt,102,62,3.37506,0.951933,20914.4,24877.8,23784.4,23095.1,20914.4,11311
Montage_1000.txt,1002,662,17.5845,0.966248,150177,262268,215988,257789,245760,152043
Montage_25.txt,27,9,2.21965,0.962866,4711.61,5249.43,4713.93,4879.31,4711.61,2144.44
Montage_50.txt,52,28,2.6611,0.957131,10130.5,11723.7,10056.7,10929.5,10130.5,4773.9
Sipht_100.txt,99,23,213.565,0.990247,335630,400587,390220,326713,354647,177413
Sipht_1000.txt,970,32,253.662,0.960331,2.87988e+006,4.00312e+006,3.98781e+006,3.15584e+006,3.85592e+006,1.46197e+006
Sipht_30.txt,31,17,210.413,0.973282,107920,127841,112371,101529,105792,60565.3
Sipht_60.txt,60,18,221.427,0.9683,223491,268958,245863,206190,213519,103476
avianflu_large.txt,2004,2000,103.084,0.990407,8.2985e+007,1.60867e+008,1.60867e+008,1.60867e+008,1.60867e+008,4.90398e+007
avianflu_medium.txt,1004,1000,103.084,0.987453,4.14966e+007,7.63137e+007,7.63137e+007,7.63137e+007,7.63137e+007,2.59964e+007
avianflu_small.txt,104,100,103.084,0.995863,4.15713e+006,6.11538e+006,6.11538e+006,6.11538e+006,6.11538e+006,2.29778e+006
cadsr.txt,6,2,0.954485,0.95786,420.868,460.982,432.851,432.851,420.868,133.907
floodplain.txt,9,2,5583.74,0.991759,3.08022e+006,3.69246e+006,3.38461e+006,3.32928e+006,3.38461e+006,1.68016e+006
gene2life.txt,10,2,25.7711,0.980654,22818.4,24893,23342,23225.4,22818.4,12461.4
glimmer.txt,6,1,4.67698,0.986379,2130.9,2258.81,2055.42,2055.42,2130.9,1146.04
leadadas.txt,8,3,237.953,0.953129,117705,123912,110641,110641,117936,86945.3
leaddm..txt,5,1,10.9766,0.977049,4948.29,5301.29,4959.15,5009.76,4948.29,3227.11
leaddm.txt,5,1,10.9766,0.969451,4948.29,5301.29,4959.15,5009.76,4948.29,3630.83
leadmm..txt,8,3,237.953,0.956125,115986,120408,112008,106849,112096,53939.2
leadmm.txt,8,3,237.953,0.975788,115986,120408,112008,106924,112096,58125.8
mcstas.txt,5,1,212869,0.958702,1.0103e+008,2.05616e+008,2.05616e+008,2.05616e+008,2.05616e+008,7.78354e+007
mememast.txt,4,1,5.72691,0.999227,2555.72,2765.89,2630.3,2630.3,2555.72,1642.65
molsci.txt,7,2,48.6787,0.971084,29479.4,30424.8,29525.7,27630.8,29525.7,12977.4
motif_large.txt,505,500,433.813,0.992887,6.23163e+007,1.20901e+008,1.20901e+008,1.20901e+008,1.20901e+008,3.88501e+007
motif_medium.txt,140,135,433.813,0.979772,1.68865e+007,2.29472e+007,2.29472e+007,2.29472e+007,2.29472e+007,1.17168e+007
motif_small.txt,15,10,433.813,0.966208,1.3284e+006,1.3297e+006,1.30631e+006,1.30523e+006,1.30523e+006,841336
psload_large.txt,5086,1000,2.38621,0.983813,2.22159e+006,2.36253e+006,2.35304e+006,2.35607e+006,2.35669e+006,1.41066e+006
psload_medium.txt,491,100,2.38621,0.963344,201746,222424,206374,204766,204714,125477
psload_small.txt,6,1,2.38621,0.988154,1062.38,1152.45,1088.06,1062.06,1062.38,656.932
psmerge_medium.txt,843,195,704.41,0.971682,2.0673e+008,3.98537e+008,3.98537e+008,3.98537e+008,3.98537e+008,1.27697e+008
psmerge_small.txt,82,77,704.41,0.978049,1.92576e+007,2.68181e+007,2.68181e+007,2.68181e+007,2.68181e+007,1.33255e+007
scoop_large..txt,103,100,42.9996,0.970625,1.96255e+006,2.07444e+006,2.02632e+006,2.01997e+006,2.01997e+006,1.0205e+006
scoop_large.txt,103,100,42.9996,0.982621,1.96255e+006,2.07444e+006,2.05204e+006,2.04645e+006,2.04645e+006,1.19596e+006
scoop_medium.txt,53,50,42.9996,0.972992,981277,1.03723e+006,984633,983884,983884,560700
scoop_small.txt,8,5,42.9996,0.976979,98128.8,103744,98128.4,98128.4,98128.4,58192.2
