wf_name,num_nodes,max_indeg,deadline_const,rel_const,sota,bcpswa,random,sb_lft,sb_dd,dynamic
CyberShake_100.txt,102,48,10.5449,0.999238,0.999262,0.999903,0.99931,0.999238,0.999238,0.999864
CyberShake_50.txt,52,23,13.9071,0.971779,0.972692,0.999943,0.973184,0.971779,0.971779,0.978151
Epigenomics_100.txt,102,24,1730.2,0.980509,0.980571,0.98265,0.983829,0.982273,0.983332,0.999998
Epigenomics_24.txt,26,5,355.688,0.977188,0.979291,0.999231,0.977255,0.986408,0.977626,0.987406
Epigenomics_46.txt,49,5,419.885,0.990211,0.990455,0.998205,0.991804,0.990239,0.990375,0.997731
Inspiral_100.txt,102,11,69.894,0.992684,0.992849,0.999088,0.994785,0.9927,0.996062,0.999952
Inspiral_1000.txt,1002,40,81.0208,0.965563,0.96559,0.99017,0.965823,0.965719,0.965685,0.995675
Inspiral_30.txt,32,7,82.3354,0.999136,0.99919,0.999713,0.999727,0.999218,0.999716,0.999995
Inspiral_50.txt,52,12,61.2413,0.976898,0.977804,0.99949,0.977815,0.976924,0.977837,0.98684
Montage_100.txt,102,62,3.70908,0.99294,0.99302,0.999953,0.99488,0.995365,0.99294,0.997367
Montage_1000.txt,1002,662,22.9523,0.968029,0.96809,0.999506,0.969881,0.968269,0.96804,0.975405
Montage_25.txt,27,9,2.17938,0.956147,0.96228,0.99999,0.99871,0.980589,0.990607,0.978334
Montage_50.txt,52,28,2.6031,0.996935,0.99709,0.999978,0.99879,0.999333,0.996936,0.999172
Sipht_100.txt,99,23,248.134,0.963154,0.964776,0.999246,0.965014,0.963154,0.96465,0.982122
Sipht_1000.txt,970,32,313.7,0.982343,0.982364,0.992493,0.99255,0.982343,0.982366,0.991677
Sipht_30.txt,31,17,207.029,0.999923,0.999759,1,1,1,1,1
Sipht_60.txt,60,18,244.79,0.98462,0.985646,0.999494,0.987616,0.984621,0.99085,0.985937
avianflu_large.txt,2004,2000,127.243,0.988087,0.855385,0.988112,0.988112,0.988112,0.988112,0.999995
avianflu_medium.txt,1004,1000,117.089,0.986775,0.924857,0.986807,0.986807,0.986807,0.986807,0.999997
avianflu_small.txt,104,100,124.233,0.990482,0.990534,0.992205,0.990578,0.990578,0.992059,0.999171
cadsr.txt,6,2,0.890288,0.990847,0.996268,0.999999,0.997199,0.997199,0.996268,0.998367
floodplain.txt,9,2,6975.05,0.987267,0.987951,0.993074,0.994359,0.987764,0.994744,0.998393
gene2life.txt,10,2,27.1874,0.991628,0.994452,0.999953,0.991723,0.991938,0.991634,0.99469
glimmer.txt,6,1,4.56102,0.992714,0.995119,0.999996,0.998286,0.99922,0.993224,0.999528
leadadas.txt,8,3,232.492,0.962015,0.972528,0.999767,0.965358,0.979683,0.962919,0.977988
leaddm..txt,5,1,13.024,0.952026,0.970327,0.99999,0.969799,0.976165,0.957908,0.987246
leaddm.txt,5,1,12.148,0.999855,0.999899,0.99999,0.999869,0.999895,0.999999,0.999934
leadmm..txt,8,3,232.155,0.960469,0.967111,0.999773,0.964912,0.961071,0.966243,0.98023
leadmm.txt,8,3,301.317,0.956672,0.967111,0.999773,0.958421,0.959999,0.96479,0.973187
mcstas.txt,5,1,225696,0.977396,0.824055,0.970759,0.970759,0.970759,0.970759,0.990149
mememast.txt,4,1,5.29132,0.966022,0.977813,0.999995,0.977813,0.988842,0.977813,0.992447
molsci.txt,7,2,55.7936,0.993246,0.995665,0.999943,0.993852,0.993358,0.993311,0.996038
motif_large.txt,505,500,557.838,0.992605,0.889314,0.992738,0.992738,0.992738,0.992738,0.999986
motif_medium.txt,140,135,527.391,0.97954,0.96869,0.979592,0.979592,0.979592,0.979592,0.999997
motif_small.txt,15,10,548.143,0.991956,0.992592,0.9975,0.993129,0.992625,0.995643,0.997752
psload_large.txt,5086,1000,2.36694,0.95757,0.957596,0.995563,0.962893,0.95757,0.957591,0.999776
psload_medium.txt,491,100,3.11197,0.983658,0.983722,0.999581,0.988482,0.983658,0.983861,0.99989
psload_small.txt,6,1,2.31887,0.998407,0.999175,0.999998,0.998977,0.998869,0.998676,0.999158
psmerge_medium.txt,843,195,675.741,0.97674,0.677587,0.977134,0.977134,0.977134,0.977134,0.999934
psmerge_small.txt,82,77,790.126,0.953826,0.954013,0.964398,0.960566,0.9545,0.957137,0.994219
scoop_large..txt,103,100,41.9868,0.963584,0.96405,0.996103,0.970615,0.963678,0.963678,0.974549
scoop_large.txt,103,100,51.4142,0.978801,0.979001,0.996103,0.978848,0.978836,0.978836,0.985342
scoop_medium.txt,53,50,45.81,0.975519,0.976194,0.99805,0.975932,0.97647,0.97647,0.986958
scoop_small.txt,8,5,51.9838,0.979521,0.986671,0.999805,0.979689,0.979689,0.979689,0.984762
