wf_name,num_nodes,max_indeg,deadline_const,rel_const,sota,bcpswa,random,sb_lft,sb_dd,dynamic
CyberShake_100.txt,102,48,14.8568,0.95,0.951576,0.999903,0.952959,0.95,0.95,0.970065
CyberShake_50.txt,52,23,17.0987,0.95,0.953156,0.999943,0.952959,0.95,0.95,0.973009
Epigenomics_100.txt,102,24,1944.11,0.95,0.950411,0.98265,0.950792,0.952229,0.951224,0.999897
Epigenomics_24.txt,26,5,363.207,0.95,0.960636,0.999231,0.954074,0.955288,0.950103,0.998181
Epigenomics_46.txt,49,5,502.942,0.95,0.952696,0.998205,0.995261,0.950031,0.950018,0.971877
Inspiral_100.txt,102,11,86.7341,0.95,0.95093,0.999088,0.950546,0.950005,0.950976,0.987238
Inspiral_1000.txt,1002,40,91.9813,0.95,0.950075,0.99017,0.969475,0.950228,0.950116,0.99546
Inspiral_30.txt,32,7,86.8915,0.95,0.954325,0.999713,0.959191,0.950023,0.952384,0.968242
Inspiral_50.txt,52,12,91.8128,0.95,0.951689,0.99949,0.950386,0.950028,0.95105,0.965976
Montage_100.txt,102,62,4.60235,0.95,0.950817,0.999953,0.95184,0.950005,0.951081,0.991626
Montage_1000.txt,1002,662,23.9788,0.95,0.950117,0.999506,0.951832,0.968269,0.950004,0.969803
Montage_25.txt,27,9,3.0268,0.95,0.957742,0.99999,0.950624,0.955789,0.985236,0.968425
Montage_50.txt,52,28,3.62878,0.95,0.95244,0.999978,0.951334,0.957382,0.950284,0.980704
Sipht_100.txt,99,23,291.224,0.95,0.952918,0.999246,0.952243,0.95,0.952516,0.964369
Sipht_1000.txt,970,32,345.903,0.95,0.950085,0.992493,0.95183,0.95,0.950022,0.974715
Sipht_30.txt,31,17,286.926,0.95,0.954728,0.999759,0.95205,0.95,0.950024,0.966261
Sipht_60.txt,60,18,301.946,0.95,0.953108,0.999494,0.951399,0.95,0.951878,0.96764
avianflu_large.txt,2004,2000,140.57,0.95,0.855361,0.950053,0.950053,0.950053,0.950053,0.999995
avianflu_medium.txt,1004,1000,140.57,0.95,0.92482,0.950058,0.950058,0.950058,0.950058,0.999998
avianflu_small.txt,104,100,140.57,0.95,0.950404,0.992205,0.950185,0.950185,0.950206,0.991637
cadsr.txt,6,2,1.30157,0.95,0.970537,0.999999,0.986079,0.958818,0.957922,0.972828
floodplain.txt,9,2,7614.19,0.95,0.958727,0.993074,0.961161,0.951477,0.960284,0.967363
gene2life.txt,10,2,35.1424,0.95,0.969708,0.999953,0.957918,0.960815,0.950426,0.981393
glimmer.txt,6,1,6.3777,0.95,0.961505,0.999996,0.966911,0.983313,0.961505,0.990231
leadadas.txt,8,3,324.482,0.95,0.961453,0.999767,0.950613,0.960008,0.957641,0.972399
leaddm..txt,5,1,14.9681,0.95,0.970327,0.99999,0.976165,0.976165,0.957908,0.987449
leaddm.txt,5,1,14.9681,0.95,0.970327,0.99999,0.976165,0.976165,0.957908,0.984967
leadmm..txt,8,3,324.482,0.95,0.964535,0.999773,0.955239,0.955389,0.958153,0.973465
leadmm.txt,8,3,324.482,0.95,0.964535,0.999773,0.955239,0.955389,0.958153,0.966607
mcstas.txt,5,1,290276,0.95,0.824055,0.970759,0.970759,0.970759,0.970759,0.983015
mememast.txt,4,1,7.80942,0.95,0.977813,0.999995,0.977813,0.988842,0.977813,0.992909
molsci.txt,7,2,66.3801,0.95,0.973507,0.999943,0.966625,0.973966,0.955727,0.981309
motif_large.txt,505,500,591.564,0.95,0.889297,0.950194,0.950194,0.950194,0.950194,0.999988
motif_medium.txt,140,135,591.564,0.95,0.950193,0.968712,0.950002,0.950002,0.955402,0.990207
motif_small.txt,15,10,591.564,0.95,0.957652,0.9975,0.991693,0.960081,0.950177,0.998952
psload_large.txt,5086,1000,3.25393,0.95,0.95002,0.995563,0.950192,0.950001,0.950021,0.999663
psload_medium.txt,491,100,3.25393,0.95,0.950333,0.999581,0.950036,0.950001,0.950193,0.99976
psload_small.txt,6,1,3.25393,0.95,0.965109,0.999998,0.958817,0.966914,0.965109,0.981118
psmerge_medium.txt,843,195,960.559,0.95,0.677505,0.950058,0.950058,0.950058,0.950058,0.999885
psmerge_small.txt,82,77,960.559,0.95,0.950219,0.964398,0.954109,0.952721,0.957137,0.971888
scoop_large..txt,103,100,58.6358,0.95,0.950895,0.996103,0.950224,0.950088,0.950088,0.970248
scoop_large.txt,103,100,58.6358,0.95,0.950895,0.996103,0.950224,0.950088,0.950088,0.972487
scoop_medium.txt,53,50,58.6358,0.95,0.951678,0.99805,0.95293,0.952177,0.952177,0.962229
scoop_small.txt,8,5,58.6358,0.95,0.965874,0.999805,0.959039,0.959039,0.959039,0.968732
