wf_name,num_nodes,max_indeg,deadline_const,rel_const,sota,bcpswa,random,sb_lft,sb_dd,dynamic
CyberShake_100.txt,102,48,10.5449,0.999238,0.990718,0.999903,0.999244,0.999238,0.999239,0.999506
CyberShake_50.txt,52,23,13.9071,0.971779,0.991072,0.999943,0.971824,0.986592,0.971948,0.973193
Epigenomics_100.txt,102,24,1730.2,0.980509,0.971254,0.98265,0.982403,0.980509,0.980881,0.98826
Epigenomics_24.txt,26,5,355.688,0.977188,0.995896,0.999231,0.979045,0.98037,0.98037,0.989985
Epigenomics_46.txt,49,5,419.885,0.990211,0.992946,0.998205,0.990483,0.990434,0.990229,0.99273
Inspiral_100.txt,102,11,69.894,0.992684,0.973197,0.999088,0.994782,0.992684,0.993019,0.994674
Inspiral_1000.txt,1002,40,81.0208,0.965563,0.966937,0.99017,0.968296,0.965853,0.965965,0.974007
Inspiral_30.txt,32,7,82.3354,0.999136,0.98905,0.999713,0.999685,0.999152,0.99931,0.999392
Inspiral_50.txt,52,12,61.2413,0.976898,0.984878,0.99949,0.976946,0.97721,0.976902,0.983256
Montage_100.txt,102,62,3.70908,0.99294,0.99883,0.999953,0.998746,0.99959,0.99883,0.995959
Montage_1000.txt,1002,662,22.9523,0.968029,0.995207,0.999506,0.968034,0.995024,0.968042,0.97736
Montage_25.txt,27,9,2.17938,0.956147,0.999369,0.99999,0.999843,0.999378,0.999369,0.999706
Montage_50.txt,52,28,2.6031,0.996935,0.985469,0.999978,0.997443,0.996967,0.996936,0.998445
Sipht_100.txt,99,23,248.134,0.963154,0.993749,0.999246,0.964947,0.963154,0.963155,0.963982
Sipht_1000.txt,970,32,313.7,0.982343,0.97463,0.992493,0.984142,0.982343,0.982431,0.985675
Sipht_30.txt,31,17,207.029,0.999923,0.997722,1,1,1,1,1
Sipht_60.txt,60,18,244.79,0.98462,0.996801,0.999494,0.984731,0.98462,0.984621,0.989273
avianflu_large.txt,2004,2000,127.243,0.988087,0.855385,0.988112,0.988112,0.988112,0.988112,0.999995
avianflu_medium.txt,1004,1000,117.089,0.986775,0.924863,0.986807,0.986807,0.986807,0.986807,0.999997
avianflu_small.txt,104,100,124.233,0.990482,0.992205,0.992205,0.991151,0.991151,0.991151,0.995012
cadsr.txt,6,2,0.890288,0.990847,0.999995,0.999999,0.999996,0.999994,0.999995,0.999992
floodplain.txt,9,2,6975.05,0.987267,0.987951,0.993074,0.987329,0.988155,0.987683,0.990814
gene2life.txt,10,2,27.1874,0.991628,0.995101,0.999953,0.99531,0.997067,0.995101,0.997966
glimmer.txt,6,1,4.56102,0.992714,0.999938,0.999996,0.999919,0.999943,0.999938,0.999961
leadadas.txt,8,3,232.492,0.962015,0.999623,0.999767,0.978436,0.98034,0.97856,0.986538
leaddm..txt,5,1,13.024,0.952026,0.99901,0.99999,0.999491,0.999491,0.994571,0.999993
leaddm.txt,5,1,12.148,0.999855,0.998894,0.99999,0.999914,0.999914,0.999878,0.999954
leadmm..txt,8,3,232.155,0.960469,0.998118,0.999773,0.993525,0.991132,0.988215,0.994554
leadmm.txt,8,3,301.317,0.956672,0.998253,0.999773,0.973925,0.976401,0.964604,0.98764
mcstas.txt,5,1,225696,0.977396,0.817638,0.970759,0.970759,0.970759,0.970759,0.987443
mememast.txt,4,1,5.29132,0.966022,0.999995,0.999995,0.999995,0.999995,0.999995,0.999821
molsci.txt,7,2,55.7936,0.993246,0.998452,0.999943,0.9962,0.9962,0.998452,0.997842
motif_large.txt,505,500,557.838,0.992605,0.889178,0.992738,0.992738,0.992738,0.992738,0.999986
motif_medium.txt,140,135,527.391,0.97954,0.968669,0.979592,0.979592,0.979592,0.979592,0.999995
motif_small.txt,15,10,548.143,0.991956,0.997456,0.9975,0.992099,0.992015,0.992099,0.995002
psload_large.txt,5086,1000,2.36694,0.95757,0.92458,0.995563,0.95757,0.95757,0.95757,0.968433
psload_medium.txt,491,100,3.11197,0.983658,0.99911,0.999581,0.993228,0.99911,0.99911,0.9962
psload_small.txt,6,1,2.31887,0.998407,0.999947,0.999998,0.999932,0.999855,0.999947,0.999853
psmerge_medium.txt,843,195,675.741,0.97674,0.677546,0.977134,0.977134,0.977134,0.977134,0.999764
psmerge_small.txt,82,77,790.126,0.953826,0.964355,0.964398,0.953871,0.953871,0.954024,0.964861
scoop_large..txt,103,100,41.9868,0.963584,0.944531,0.996103,0.963803,0.963803,0.963803,0.975395
scoop_large.txt,103,100,51.4142,0.978801,0.944528,0.996103,0.978972,0.978972,0.978972,0.984947
scoop_medium.txt,53,50,45.81,0.975519,0.971864,0.99805,0.975648,0.975648,0.975648,0.983065
scoop_small.txt,8,5,51.9838,0.979521,0.997142,0.999805,0.979522,0.979522,0.979522,0.986844
