wf_name,num_nodes,max_indeg,deadline_const,rel_const,sota,bcpswa,random,sb_lft,sb_dd,dynamic
CyberShake_100.txt,102,48,10.895,0.963483,0.987701,0.999903,0.96473,0.984669,0.96419,0.961432
CyberShake_50.txt,52,23,12.5391,0.998998,0.995582,0.999943,0.999177,0.998998,0.998998,0.99935
Epigenomics_100.txt,102,24,1425.68,0.972406,0.977682,0.98265,0.973646,0.972406,0.972447,0.982645
Epigenomics_24.txt,26,5,266.351,0.986295,0.997964,0.999231,0.987078,0.990281,0.989914,0.991156
Epigenomics_46.txt,49,5,368.824,0.969552,0.995845,0.998205,0.969577,0.969553,0.969569,0.982209
Inspiral_100.txt,102,11,63.605,0.980422,0.965583,0.999088,0.98043,0.980422,0.982136,0.98435
Inspiral_1000.txt,1002,40,67.453,0.990786,0.958622,0.990788,0.990788,0.990788,0.990788,0.999876
Inspiral_30.txt,32,7,63.7205,0.951561,0.992725,0.999713,0.964984,0.951561,0.952774,0.96803
Inspiral_50.txt,52,12,67.3294,0.993158,0.980151,0.99949,0.993209,0.993159,0.993464,0.99445
Montage_100.txt,102,62,3.37506,0.951933,0.996343,0.999953,0.999171,0.99821,0.996343,0.998533
Montage_1000.txt,1002,662,17.5845,0.966248,0.9957,0.999506,0.966252,0.990588,0.967075,0.982245
Montage_25.txt,27,9,2.21965,0.962866,0.994495,0.99999,0.998876,0.996079,0.994495,0.99776
Montage_50.txt,52,28,2.6611,0.957131,0.998804,0.999978,0.992179,0.994903,0.998804,0.996982
Sipht_100.txt,99,23,213.565,0.990247,0.996764,0.999246,0.993427,0.990247,0.99479,0.992734
Sipht_1000.txt,970,32,253.662,0.960331,0.976917,0.992493,0.962686,0.960797,0.96388,0.970196
Sipht_30.txt,31,17,210.413,0.973282,0.997449,0.999759,0.975178,0.973282,0.973409,0.980744
Sipht_60.txt,60,18,221.427,0.9683,0.997404,0.999494,0.968541,0.9683,0.9683,0.974283
avianflu_large.txt,2004,2000,103.084,0.990407,0.855385,0.990429,0.990429,0.990429,0.990429,0.999995
avianflu_medium.txt,1004,1000,103.084,0.987453,0.924863,0.9875,0.9875,0.9875,0.9875,0.999997
avianflu_small.txt,104,100,103.084,0.995863,0.992205,0.995869,0.995869,0.995869,0.995869,1
cadsr.txt,6,2,0.954485,0.95786,0.999925,0.999999,0.999645,0.999645,0.999925,0.999986
floodplain.txt,9,2,5583.74,0.991759,0.990766,0.993074,0.992879,0.992207,0.992879,0.993918
gene2life.txt,10,2,25.7711,0.980654,0.996315,0.999953,0.997635,0.996866,0.996315,0.99812
glimmer.txt,6,1,4.67698,0.986379,0.999913,0.999996,0.999567,0.999567,0.999913,0.999759
leadadas.txt,8,3,237.953,0.953129,0.999501,0.999767,0.961808,0.961808,0.986838,0.969873
leaddm..txt,5,1,10.9766,0.977049,0.999579,0.99999,0.999779,0.999375,0.999579,0.999605
leaddm.txt,5,1,10.9766,0.969451,0.999579,0.99999,0.999779,0.999375,0.999579,0.999547
leadmm..txt,8,3,237.953,0.956125,0.997919,0.999773,0.984725,0.972396,0.984289,0.985892
leadmm.txt,8,3,237.953,0.975788,0.997919,0.999773,0.984725,0.977088,0.984289,0.987497
mcstas.txt,5,1,212869,0.958702,0.817638,0.970759,0.970759,0.970759,0.970759,0.980774
mememast.txt,4,1,5.72691,0.999227,0.999673,0.999995,0.999709,0.999709,0.999673,0.999819
molsci.txt,7,2,48.6787,0.971084,0.999059,0.999943,0.996783,0.976225,0.996783,0.987292
motif_large.txt,505,500,433.813,0.992887,0.888973,0.992971,0.992971,0.992971,0.992971,0.999987
motif_medium.txt,140,135,433.813,0.979772,0.968308,0.979821,0.979821,0.979821,0.979821,0.999868
motif_small.txt,15,10,433.813,0.966208,0.997085,0.9975,0.966998,0.966904,0.966904,0.977825
psload_large.txt,5086,1000,2.38621,0.983813,0.92458,0.995563,0.983813,0.983813,0.983813,0.988813
psload_medium.txt,491,100,2.38621,0.963344,0.95692,0.999581,0.969911,0.963345,0.963344,0.973222
psload_small.txt,6,1,2.38621,0.988154,0.999577,0.999998,0.999992,0.999807,0.999577,0.999895
psmerge_medium.txt,843,195,704.41,0.971682,0.677487,0.972113,0.972113,0.972113,0.972113,0.99981
psmerge_small.txt,82,77,704.41,0.978049,0.964355,0.978212,0.978212,0.978212,0.978212,0.999991
scoop_large..txt,103,100,42.9996,0.970625,0.944528,0.996103,0.970867,0.970645,0.970645,0.982943
scoop_large.txt,103,100,42.9996,0.982621,0.944528,0.996103,0.98281,0.982769,0.982769,0.988909
scoop_medium.txt,53,50,42.9996,0.972992,0.971864,0.99805,0.973242,0.973059,0.973059,0.982967
scoop_small.txt,8,5,42.9996,0.976979,0.997142,0.999805,0.994359,0.994359,0.994359,0.996701
