wf_name,num_nodes,max_indeg,deadline_const,rel_const,sota,bcpswa,random,sb_lft,sb_dd,dynamic
CyberShake_100.txt,102,48,14.8568,0.95,0.985845,0.999903,0.950023,0.986082,0.950014,0.958101
CyberShake_50.txt,52,23,17.0987,0.95,0.995202,0.999943,0.951217,0.992573,0.962681,0.96903
Epigenomics_100.txt,102,24,1944.11,0.95,0.967562,0.98265,0.951638,0.950044,0.950044,0.967412
Epigenomics_24.txt,26,5,363.207,0.95,0.997452,0.999231,0.952763,0.981902,0.981902,0.985208
Epigenomics_46.txt,49,5,502.942,0.95,0.992981,0.998205,0.950818,0.950046,0.950023,0.967021
Inspiral_100.txt,102,11,86.7341,0.95,0.978878,0.999088,0.951614,0.95,0.950112,0.959258
Inspiral_1000.txt,1002,40,91.9813,0.95,0.957001,0.99017,0.950346,0.950294,0.950255,0.968094
Inspiral_30.txt,32,7,86.8915,0.95,0.988485,0.999713,0.950025,0.951744,0.960791,0.963023
Inspiral_50.txt,52,12,91.8128,0.95,0.985293,0.99949,0.950051,0.962013,0.951002,0.969874
Montage_100.txt,102,62,4.60235,0.95,0.957606,0.999953,0.999823,0.98427,0.957606,0.986219
Montage_1000.txt,1002,662,23.9788,0.95,0.988,0.999506,0.957932,0.997441,0.95,0.984003
Montage_25.txt,27,9,3.0268,0.95,0.998873,0.99999,0.99871,0.997728,0.99576,0.997982
Montage_50.txt,52,28,3.62878,0.95,0.985869,0.999978,0.99986,0.998341,0.985869,0.997836
Sipht_100.txt,99,23,291.224,0.95,0.99316,0.999246,0.951754,0.95,0.950391,0.953519
Sipht_1000.txt,970,32,345.903,0.95,0.974115,0.992493,0.95011,0.95,0.950014,0.950991
Sipht_30.txt,31,17,286.926,0.95,0.997426,0.999759,0.950041,0.95,0.952416,0.96334
Sipht_60.txt,60,18,301.946,0.95,0.994133,0.999494,0.952619,0.95,0.950266,0.950631
avianflu_large.txt,2004,2000,140.57,0.95,0.855385,0.950053,0.950053,0.950053,0.950053,0.999995
avianflu_medium.txt,1004,1000,140.57,0.95,0.924863,0.950058,0.950058,0.950058,0.950058,0.999998
avianflu_small.txt,104,100,140.57,0.95,0.992205,0.992205,0.950607,0.950607,0.950607,0.972293
cadsr.txt,6,2,1.30157,0.95,0.999922,0.999999,0.999973,0.999949,0.999922,0.999959
floodplain.txt,9,2,7614.19,0.95,0.987451,0.993074,0.959993,0.960523,0.952098,0.984556
gene2life.txt,10,2,35.1424,0.95,0.995421,0.999953,0.999345,0.999928,0.992905,0.999338
glimmer.txt,6,1,6.3777,0.95,0.999617,0.999996,0.999648,0.999648,0.999617,0.999768
leadadas.txt,8,3,324.482,0.95,0.999312,0.999767,0.961581,0.96577,0.957824,0.97746
leaddm..txt,5,1,14.9681,0.95,0.999101,0.99999,0.999488,0.999985,0.999101,0.999991
leaddm.txt,5,1,14.9681,0.95,0.999101,0.99999,0.999488,0.999985,0.999101,0.999991
leadmm..txt,8,3,324.482,0.95,0.997154,0.999773,0.977937,0.976401,0.968788,0.980211
leadmm.txt,8,3,324.482,0.95,0.997154,0.999773,0.977937,0.976401,0.968788,0.984354
mcstas.txt,5,1,290276,0.95,0.817638,0.970759,0.970759,0.970759,0.970759,0.979173
mememast.txt,4,1,7.80942,0.95,0.999531,0.999995,0.999531,0.999993,0.999531,0.999995
molsci.txt,7,2,66.3801,0.95,0.995582,0.999943,0.957754,0.979,0.973704,0.983756
motif_large.txt,505,500,591.564,0.95,0.807733,0.950194,0.950194,0.950194,0.950194,0.999983
motif_medium.txt,140,135,591.564,0.95,0.943848,0.968712,0.968539,0.950042,0.950042,0.969468
motif_small.txt,15,10,591.564,0.95,0.995553,0.9975,0.995553,0.995553,0.995553,0.987219
psload_large.txt,5086,1000,3.25393,0.95,0.989362,0.995563,0.956285,0.989362,0.989362,0.962418
psload_medium.txt,491,100,3.25393,0.95,0.998979,0.999581,0.995618,0.998979,0.998979,0.99565
psload_small.txt,6,1,3.25393,0.95,0.999824,0.999998,0.999883,0.999994,0.999824,0.999998
psmerge_medium.txt,843,195,960.559,0.95,0.677366,0.950058,0.950058,0.950058,0.950058,0.99992
psmerge_small.txt,82,77,960.559,0.95,0.964183,0.964398,0.950458,0.950458,0.95151,0.974184
scoop_large..txt,103,100,58.6358,0.95,0.944528,0.996103,0.950006,0.950006,0.950006,0.967846
scoop_large.txt,103,100,58.6358,0.95,0.944528,0.996103,0.950006,0.950006,0.950006,0.966216
scoop_medium.txt,53,50,58.6358,0.95,0.838628,0.99805,0.95007,0.95007,0.95007,0.965752
scoop_small.txt,8,5,58.6358,0.95,0.982548,0.999805,0.979805,0.979805,0.979805,0.989436
