50 0.9 2116.2
18.06 1 12 986360
18.17 1 13 972431
17.95 1 14 998873
18.63 1 15 950797
18.27 1 16 993450
18.05 1 17 954179
18.1 1 18 958002
17.46 1 19 974790
18.4 1 20 987959
18.81 1 21 980842
18.29 1 22 996105
18.19 1 23 1028192
378 1 24 221205
483.32 1 24 336074
285.03 1 24 321352
300.19 1 24 468598
560.33 1 24 159433
689.29 1 24 199001
662.65 1 24 202897
542.77 1 24 303901
495.09 1 24 345061
244.47 1 24 160601
470.14 1 24 182454
430.23 1 24 261596
5.29 12 25 35410 26 45873 27 44392 28 41003 29 17210 30 42925 31 42753 32 33329 33 41834 34 26608 35 46647 36 48835
5.13 1 37 10511
5.06 1 38 13843
4.94 1 39 18477
4.89 1 40 10399
5.34 1 41 13329
4.95 1 42 10556
4.95 1 43 13896
5.26 1 44 15855
5.68 1 45 11162
5.21 1 46 6744
5.32 1 47 12659
4.89 1 48 7182
687.76 1 49 394336
271.31 1 49 219786
494.07 1 49 245057
636.81 1 49 371080
472.41 1 49 310860
616.34 1 49 417224
475.5 1 49 255028
641.92 1 49 414920
393.45 1 49 348073
381.65 1 49 236051
381.21 1 49 331834
477.44 1 49 443350
5.28 0
