968 0.9 7972.749749999999
0.094 1 28 1
1.4561 1 0 119334
1.3635 1 0 64157
1.5752 1 0 102060
1.1719 1 0 50767
1.5298 1 0 96383
1.5391 1 0 105891
0.736 1 0 128793
1.5641 1 0 105233
1.5717 1 0 123931
1.1118 1 0 72043
1.2525 1 0 47973
1.4023 1 0 126215
1.3387 1 0 64579
1.2737 1 0 56809
0.9136 1 0 136626
1.4687 1 0 69908
1.7119 1 0 50386
1525.3178 1 22 1
35.243 1 22 1
39.4665 1 22 1
2906.741 1 22 1
453.8649 6 23 1 24 1 25 1 26 1 27 1 28 1
1.6026 1 26 1
4.8277 1 28 1
1466.1896 1 28 1
33 1 28 1
4.9504 1 28 1
1.9948 0
0.1189 1 57 1
1.3378 1 29 105152
0.9107 1 29 72773
1.3451 1 29 51699
1.3822 1 29 123803
1.0828 1 29 50176
1.3158 1 29 107730
1.3348 1 29 68639
1.4561 1 29 112203
1.7408 1 29 51152
0.7544 1 29 56617
1.6188 1 29 50967
1.3064 1 29 131385
1.5457 1 29 74848
1.4031 1 29 99554
1.5713 1 29 119160
1.8884 1 29 70410
1.2551 1 29 57111
1833.9488 1 51 1
27.4504 1 51 1
50.2483 1 51 1
2797.4297 1 51 1
525.8649 6 52 1 53 1 54 1 55 1 56 1 57 1
1.3122 1 55 1
3.7214 1 57 1
1643.5651 1 57 1
33 1 57 1
3.2924 1 57 1
1.3892 0
0.0598 1 89 1
1.4549 1 58 93057
1.1147 1 58 76146
1.2451 1 58 88779
1.1842 1 58 67845
1.4893 1 58 66236
1.5934 1 58 130744
0.9591 1 58 129030
0.9998 1 58 85301
1.6567 1 58 91196
1.7361 1 58 125795
1.1697 1 58 100589
1.423 1 58 103005
1.0731 1 58 55448
1.1409 1 58 95817
1.0017 1 58 74453
0.8592 1 58 100242
0.9793 1 58 103955
0.9636 1 58 48813
1.4238 1 58 73570
1.43 1 58 72312
788.6918 1 83 1
27.1502 1 83 1
40.2744 1 83 1
1447.157 1 83 1
218.6358 6 84 1 85 1 86 1 87 1 88 1 89 1
1.6529 1 87 1
4.2411 1 89 1
1263.0495 1 89 1
33 1 89 1
3.3772 1 89 1
1.0194 0
0.0887 1 120 1
0.8847 1 90 55521
1.3965 1 90 110651
1.176 1 90 96833
0.9339 1 90 129034
1.2863 1 90 130307
1.3763 1 90 111699
1.0273 1 90 46436
1.4798 1 90 69213
1.6248 1 90 115921
0.9691 1 90 89847
1.7211 1 90 50575
1.2634 1 90 137232
1.3261 1 90 131034
0.945 1 90 46604
1.4492 1 90 82680
1.0329 1 90 63333
1.333 1 90 49835
1.1032 1 90 91113
1.2828 1 90 74611
1141.9699 1 114 1
40.8694 1 114 1
36.0419 1 114 1
1880.8295 1 114 1
422.1804 6 115 1 116 1 117 1 118 1 119 1 120 1
1.7146 1 118 1
5.8395 1 120 1
1402.8332 1 120 1
33 1 120 1
6.0604 1 120 1
1.6054 0
0.055 1 151 1
1.5603 1 121 135125
0.6496 1 121 83035
1.0264 1 121 113445
1.4715 1 121 48271
1.7896 1 121 96682
1.4065 1 121 80162
1.3079 1 121 113991
1.251 1 121 101924
1.3662 1 121 111066
1.0305 1 121 128575
1.0801 1 121 97162
1.5657 1 121 93151
1.1353 1 121 110321
0.9226 1 121 133557
1.2443 1 121 132456
1.7169 1 121 87398
1.0391 1 121 131640
1.6967 1 121 78990
1.579 1 121 130727
859.5007 1 145 1
35.8879 1 145 1
44.6995 1 145 1
3490.4644 1 145 1
349.0612 6 146 1 147 1 148 1 149 1 150 1 151 1
1.8686 1 149 1
6.0752 1 151 1
1474.2744 1 151 1
33 1 151 1
3.8763 1 151 1
1.3665 0
0.1132 1 180 1
1.5029 1 152 132893
1.3088 1 152 101330
0.9699 1 152 107474
1.4821 1 152 67730
1.1851 1 152 77601
1.5552 1 152 65039
1.0679 1 152 125979
1.5754 1 152 125954
1.3227 1 152 100168
1.1304 1 152 97902
1.0124 1 152 87745
1.3603 1 152 56237
1.8812 1 152 121798
1.2202 1 152 69780
0.6894 1 152 81512
1.1239 1 152 88894
1.2277 1 152 73740
1735.5119 1 174 1
40.7612 1 174 1
53.6109 1 174 1
1594.9541 1 174 1
427.8866 6 175 1 176 1 177 1 178 1 179 1 180 1
1.7788 1 178 1
4.4032 1 180 1
1575.8585 1 180 1
33 1 180 1
4.6 1 180 1
1.8663 0
0.0674 1 208 1
1.2398 1 181 82488
0.9154 1 181 88934
1.4092 1 181 109027
1.2569 1 181 53696
1.5051 1 181 71827
1.6598 1 181 88397
0.9749 1 181 50807
1.5018 1 181 86084
1.6833 1 181 131696
1.1662 1 181 112992
1.2475 1 181 71241
1.6593 1 181 58282
1.2516 1 181 83605
0.8281 1 181 135690
1.2924 1 181 111709
1.4018 1 181 116331
758.2095 1 202 1
37.9383 1 202 1
52.3538 1 202 1
1771.6328 1 202 1
299.3043 6 203 1 204 1 205 1 206 1 207 1 208 1
1.2664 1 206 1
5.9065 1 208 1
1388.9376 1 208 1
33 1 208 1
5.5263 1 208 1
2.416 0
0.0427 1 242 1
1.1483 1 209 54565
