51 0.9 1351.5
900 1 38 169869312
900 1 38 169869312
900 1 38 169869312
900 1 38 169869312
900 1 38 169869312
900 1 38 169869312
900 1 38 169869312
900 1 38 169869312
900 1 38 169869312
900 1 38 169869312
900 1 38 169869312
900 1 38 169869312
900 1 38 169869312
900 1 38 169869312
900 1 38 169869312
900 1 38 169869312
900 1 38 169869312
900 1 38 169869312
900 1 38 169869312
900 1 38 169869312
900 1 38 169869312
900 1 38 169869312
900 1 38 169869312
900 1 38 169869312
900 1 38 169869312
900 1 38 169869312
900 1 38 169869312
900 1 38 169869312
900 1 38 169869312
900 1 38 169869312
900 1 38 169869312
900 1 38 169869312
900 1 38 169869312
900 1 38 169869312
900 1 38 169869312
900 1 38 169869312
900 1 38 169869312
900 1 38 169869312
1 0
900 1 38 169869312
900 1 38 169869312
900 1 38 169869312
900 1 38 169869312
900 1 38 169869312
900 1 38 169869312
900 1 38 169869312
900 1 38 169869312
900 1 38 169869312
900 1 38 169869312
900 1 38 169869312
900 1 38 169869312
